VGS,VBS,ID1,ID2
-5,0,-0.0000036625,-0.0000036706
-4.99,0,-0.000003672,-0.0000036724
-4.98,0,-0.0000036406,-0.0000036396
-4.97,0,-0.0000036365,-0.0000036437
-4.96,0,-0.0000036516,-0.0000036544
-4.95,0,-0.0000036232,-0.0000036233
-4.94,0,-0.0000036137,-0.0000036181
-4.93,0,-0.0000036314,-0.0000036354
-4.92,0,-0.0000036084,-0.0000036053
-4.91,0,-0.0000035903,-0.0000035944
-4.9,0,-0.0000036063,-0.0000036141
-4.89,0,-0.0000035938,-0.0000035911
-4.88,0,-0.0000035675,-0.0000035705
-4.87,0,-0.0000035839,-0.0000035887
-4.86,0,-0.0000035784,-0.0000035747
-4.85,0,-0.0000035467,-0.0000035484
-4.84,0,-0.0000035579,-0.0000035661
-4.83,0,-0.0000035625,-0.0000035611
-4.82,0,-0.0000035292,-0.0000035274
-4.81,0,-0.000003531,-0.0000035391
-4.8,0,-0.0000035431,-0.0000035436
-4.79,0,-0.0000035114,-0.0000035108
-4.78,0,-0.0000035061,-0.0000035108
-4.77,0,-0.0000035225,-0.0000035231
-4.76,0,-0.0000034934,-0.0000034931
-4.75,0,-0.0000034808,-0.0000034859
-4.74,0,-0.0000034994,-0.0000035043
-4.73,0,-0.00000348,-0.0000034746
-4.72,0,-0.0000034569,-0.0000034611
-4.71,0,-0.0000034748,-0.0000034802
-4.7,0,-0.0000034628,-0.0000034603
-4.69,0,-0.0000034357,-0.0000034371
-4.68,0,-0.0000034508,-0.0000034557
-4.67,0,-0.000003447,-0.0000034426
-4.66,0,-0.0000034132,-0.0000034154
-4.65,0,-0.0000034216,-0.0000034312
-4.64,0,-0.0000034281,-0.0000034276
-4.63,0,-0.0000033981,-0.0000033945
-4.62,0,-0.0000033952,-0.0000034029
-4.61,0,-0.000003407,-0.0000034086
-4.6,0,-0.000003378,-0.0000033761
-4.59,0,-0.0000033694,-0.0000033762
-4.58,0,-0.0000033877,-0.0000033888
-4.57,0,-0.0000033601,-0.0000033576
-4.56,0,-0.000003344,-0.0000033495
-4.55,0,-0.0000033615,-0.0000033673
-4.54,0,-0.0000033453,-0.0000033392
-4.53,0,-0.0000033209,-0.0000033247
-4.52,0,-0.000003338,-0.0000033444
-4.51,0,-0.0000033285,-0.0000033231
-4.5,0,-0.0000032973,-0.0000033002
-4.49,0,-0.0000033121,-0.0000033174
-4.48,0,-0.0000033117,-0.0000033067
-4.47,0,-0.0000032783,-0.000003277
-4.46,0,-0.0000032824,-0.0000032917
-4.45,0,-0.0000032902,-0.00000329
-4.44,0,-0.00000326,-0.0000032551
-4.43,0,-0.0000032564,-0.0000032622
-4.42,0,-0.0000032701,-0.0000032704
-4.41,0,-0.0000032405,-0.0000032381
-4.4,0,-0.0000032308,-0.0000032358
-4.39,0,-0.0000032472,-0.0000032483
-4.38,0,-0.0000032227,-0.0000032179
-4.37,0,-0.0000032044,-0.0000032088
-4.36,0,-0.0000032203,-0.0000032275
-4.35,0,-0.0000032064,-0.0000032
-4.34,0,-0.0000031796,-0.0000031829
-4.33,0,-0.0000031959,-0.0000032
-4.32,0,-0.0000031883,-0.0000031841
-4.31,0,-0.0000031558,-0.000003158
-4.3,0,-0.0000031681,-0.0000031754
-4.29,0,-0.0000031712,-0.0000031638
-4.28,0,-0.0000031373,-0.0000031344
-4.27,0,-0.0000031405,-0.0000031486
-4.26,0,-0.0000031487,-0.0000031489
-4.25,0,-0.0000031174,-0.0000031128
-4.24,0,-0.0000031121,-0.0000031184
-4.23,0,-0.0000031278,-0.0000031269
-4.22,0,-0.0000030981,-0.0000030957
-4.21,0,-0.000003086,-0.0000030914
-4.2,0,-0.0000031028,-0.0000031051
-4.19,0,-0.0000030804,-0.0000030727
-4.18,0,-0.0000030603,-0.0000030642
-4.17,0,-0.0000030754,-0.000003082
-4.16,0,-0.0000030619,-0.0000030558
-4.15,0,-0.0000030345,-0.0000030367
-4.14,0,-0.00000305,-0.0000030543
-4.13,0,-0.0000030432,-0.0000030382
-4.12,0,-0.0000030111,-0.0000030131
-4.11,0,-0.0000030198,-0.0000030294
-4.1,0,-0.0000030243,-0.000003019
-4.09,0,-0.0000029918,-0.0000029868
-4.08,0,-0.0000029903,-0.000003001
-4.07,0,-0.0000030019,-0.000003002
-4.06,0,-0.0000029709,-0.0000029668
-4.05,0,-0.0000029627,-0.0000029692
-4.04,0,-0.0000029792,-0.0000029791
-4.03,0,-0.0000029507,-0.0000029475
-4.02,0,-0.0000029348,-0.0000029417
-4.01,0,-0.0000029522,-0.0000029573
-4,0,-0.0000029319,-0.0000029242
-3.99,0,-0.0000029082,-0.0000029137
-3.98,0,-0.0000029231,-0.0000029311
-3.97,0,-0.0000029132,-0.0000029071
-3.96,0,-0.0000028837,-0.000002887
-3.95,0,-0.0000028968,-0.0000029029
-3.94,0,-0.0000028953,-0.0000028884
-3.93,0,-0.0000028609,-0.0000028612
-3.92,0,-0.000002865,-0.0000028761
-3.91,0,-0.0000028727,-0.0000028694
-3.9,0,-0.000002841,-0.0000028356
-3.89,0,-0.0000028367,-0.0000028468
-3.88,0,-0.0000028486,-0.0000028482
-3.87,0,-0.0000028177,-0.000002815
-3.86,0,-0.0000028077,-0.0000028154
-3.85,0,-0.0000028239,-0.0000028264
-3.84,0,-0.000002797,-0.0000027934
-3.83,0,-0.0000027793,-0.0000027875
-3.82,0,-0.0000027957,-0.0000028021
-3.81,0,-0.0000027792,-0.0000027713
-3.8,0,-0.0000027535,-0.0000027584
-3.79,0,-0.0000027678,-0.0000027759
-3.78,0,-0.0000027587,-0.0000027529
-3.77,0,-0.0000027256,-0.00000273
-3.76,0,-0.0000027401,-0.0000027462
-3.75,0,-0.0000027392,-0.0000027321
-3.74,0,-0.0000027041,-0.0000027036
-3.73,0,-0.0000027062,-0.0000027195
-3.72,0,-0.0000027158,-0.0000027124
-3.71,0,-0.0000026837,-0.000002679
-3.7,0,-0.0000026783,-0.0000026877
-3.69,0,-0.0000026904,-0.0000026914
-3.68,0,-0.0000026597,-0.0000026578
-3.67,0,-0.0000026481,-0.0000026559
-3.66,0,-0.0000026657,-0.000002667
-3.65,0,-0.0000026415,-0.0000026341
-3.64,0,-0.0000026206,-0.000002627
-3.63,0,-0.0000026345,-0.0000026425
-3.62,0,-0.0000026205,-0.0000026124
-3.61,0,-0.0000025926,-0.0000025971
-3.6,0,-0.000002608,-0.000002615
-3.59,0,-0.0000026004,-0.0000025934
-3.58,0,-0.0000025664,-0.0000025681
-3.57,0,-0.0000025752,-0.0000025847
-3.56,0,-0.0000025772,-0.0000025719
-3.55,0,-0.0000025443,-0.0000025417
-3.54,0,-0.0000025427,-0.0000025553
-3.53,0,-0.0000025522,-0.0000025505
-3.52,0,-0.0000025205,-0.0000025152
-3.51,0,-0.0000025126,-0.0000025228
-3.5,0,-0.0000025285,-0.0000025279
-3.49,0,-0.0000024978,-0.0000024947
-3.48,0,-0.0000024823,-0.0000024901
-3.47,0,-0.0000024988,-0.0000025017
-3.46,0,-0.0000024777,-0.0000024691
-3.45,0,-0.0000024538,-0.0000024605
-3.44,0,-0.0000024687,-0.0000024769
-3.43,0,-0.0000024561,-0.0000024464
-3.42,0,-0.0000024256,-0.0000024302
-3.41,0,-0.0000024386,-0.0000024457
-3.4,0,-0.0000024337,-0.0000024265
-3.39,0,-0.0000023991,-0.0000024008
-3.38,0,-0.0000024057,-0.0000024153
-3.37,0,-0.0000024099,-0.0000024035
-3.36,0,-0.0000023771,-0.0000023725
-3.35,0,-0.0000023731,-0.0000023857
-3.34,0,-0.0000023842,-0.0000023831
-3.33,0,-0.0000023517,-0.0000023465
-3.32,0,-0.0000023412,-0.0000023515
-3.31,0,-0.0000023578,-0.0000023571
-3.3,0,-0.0000023294,-0.0000023239
-3.29,0,-0.0000023108,-0.0000023196
-3.28,0,-0.0000023267,-0.0000023303
-3.27,0,-0.0000023075,-0.0000022979
-3.26,0,-0.0000022812,-0.000002287
-3.25,0,-0.000002296,-0.0000023038
-3.24,0,-0.0000022846,-0.0000022756
-3.23,0,-0.0000022524,-0.000002256
-3.22,0,-0.000002264,-0.0000022708
-3.21,0,-0.0000022617,-0.000002255
-3.2,0,-0.0000022257,-0.0000022274
-3.19,0,-0.0000022294,-0.0000022409
-3.18,0,-0.0000022365,-0.0000022306
-3.17,0,-0.0000022023,-0.0000021965
-3.16,0,-0.0000021967,-0.0000022091
-3.15,0,-0.0000022084,-0.0000022072
-3.14,0,-0.0000021774,-0.0000021718
-3.13,0,-0.0000021651,-0.0000021747
-3.12,0,-0.0000021804,-0.0000021806
-3.11,0,-0.000002154,-0.0000021471
-3.1,0,-0.0000021335,-0.0000021415
-3.09,0,-0.0000021476,-0.0000021536
-3.08,0,-0.0000021318,-0.0000021211
-3.07,0,-0.000002103,-0.0000021088
-3.06,0,-0.0000021161,-0.0000021247
-3.05,0,-0.0000021077,-0.000002098
-3.04,0,-0.0000020732,-0.0000020769
-3.03,0,-0.0000020834,-0.0000020915
-3.02,0,-0.0000020834,-0.0000020756
-3.01,0,-0.0000020478,-0.0000020459
-3,0,-0.0000020479,-0.0000020595
-2.99,0,-0.0000020554,-0.0000020509
-2.98,0,-0.0000020222,-0.0000020154
-2.97,0,-0.0000020149,-0.0000020266
-2.96,0,-0.0000020279,-0.0000020254
-2.95,0,-0.0000019953,-0.0000019893
-2.94,0,-0.0000019807,-0.0000019911
-2.93,0,-0.0000019968,-0.0000019981
-2.92,0,-0.0000019732,-0.0000019644
-2.91,0,-0.0000019489,-0.0000019566
-2.9,0,-0.0000019627,-0.0000019699
-2.89,0,-0.0000019476,-0.000001937
-2.88,0,-0.0000019187,-0.0000019232
-2.87,0,-0.0000019312,-0.0000019339
-2.86,0,-0.0000019232,-0.0000019002
-2.85,0,-0.0000018877,-0.0000019157
-2.84,0,-0.000001895,-0.0000018965
-2.83,0,-0.0000018969,-0.0000018686
-2.82,0,-0.000001862,-0.0000018828
-2.81,0,-0.0000018584,-0.0000018701
-2.8,0,-0.0000018671,-0.0000018372
-2.79,0,-0.0000018346,-0.0000018493
-2.78,0,-0.0000018245,-0.0000018455
-2.77,0,-0.0000018382,-0.0000018082
-2.76,0,-0.0000018079,-0.0000018121
-2.75,0,-0.0000017893,-0.0000018163
-2.74,0,-0.0000018048,-0.0000017824
-2.73,0,-0.0000017838,-0.0000017762
-2.72,0,-0.0000017572,-0.0000017869
-2.71,0,-0.0000017706,-0.0000017535
-2.7,0,-0.0000017562,-0.0000017414
-2.69,0,-0.0000017246,-0.0000017561
-2.68,0,-0.0000017353,-0.000001728
-2.67,0,-0.0000017309,-0.0000017074
-2.66,0,-0.0000016943,-0.000001721
-2.65,0,-0.0000016977,-0.0000017025
-2.64,0,-0.000001702,-0.0000016744
-2.63,0,-0.0000016678,-0.0000016873
-2.62,0,-0.0000016624,-0.0000016764
-2.61,0,-0.0000016718,-0.000001642
-2.6,0,-0.0000016379,-0.0000016517
-2.59,0,-0.0000016259,-0.000001649
-2.58,0,-0.0000016402,-0.0000016125
-2.57,0,-0.000001612,-0.0000016132
-2.56,0,-0.000001591,-0.0000016198
